Label;URL
Personal_Hygiene_Products;https://data.ozon.ru/app/categories-comparison?category=2_17027489_200001243&period=year&group=group_brand&metric=metric_gmv&sortingColumn=metric_gmv&sortingOrder=direction_desc
Shaving_&_Grooming_Products;https://data.ozon.ru/app/categories-comparison?category=2_17027489_17054869&period=year&group=group_brand&metric=metric_gmv&sortingColumn=metric_gmv&sortingOrder=direction_desc
Shaving_Accessories;https://data.ozon.ru/app/categories-comparison?category=2_17027489_200001239&period=year&group=group_brand&metric=metric_gmv&sortingColumn=metric_gmv&sortingOrder=direction_desc
Shower_Puffs_and_Sponges;https://data.ozon.ru/app/categories-comparison?category=2_17027489_78021424&period=year&group=group_brand&metric=metric_gmv&sortingColumn=metric_gmv&sortingOrder=direction_desc
Tattoo_Salon_Equipment_&_Materials;https://data.ozon.ru/app/categories-comparison?category=2_17027489_61849727&period=year&group=group_brand&metric=metric_gmv&sortingColumn=metric_gmv&sortingOrder=direction_desc
Wigs_and_Hairpieces;https://data.ozon.ru/app/categories-comparison?category=2_17027489_22778913&period=year&group=group_brand&metric=metric_gmv&sortingColumn=metric_gmv&sortingOrder=direction_desc
Audiobook_on_Physical_Media;https://data.ozon.ru/app/categories-comparison?category=2_200001482_200001293&period=year&group=group_brand&metric=metric_gmv&sortingColumn=metric_gmv&sortingOrder=direction_desc
Audiobooks;https://data.ozon.ru/app/categories-comparison?category=2_200001482_200001065&period=year&group=group_brand&metric=metric_gmv&sortingColumn=metric_gmv&sortingOrder=direction_desc
E-Books;https://data.ozon.ru/app/categories-comparison?category=2_200001482_200001484&period=year&group=group_brand&metric=metric_gmv&sortingColumn=metric_gmv&sortingOrder=direction_desc
Print_books,_magazines,_comics_(since_2011);https://data.ozon.ru/app/categories-comparison?category=2_200001482_200001483&period=year&group=group_brand&metric=metric_gmv&sortingColumn=metric_gmv&sortingOrder=direction_desc
Second-hand_books_(from_2011);https://data.ozon.ru/app/categories-comparison?category=2_200001482_200001487&period=year&group=group_brand&metric=metric_gmv&sortingColumn=metric_gmv&sortingOrder=direction_desc
Second-hand_editions_(1942-2010);https://data.ozon.ru/app/categories-comparison?category=2_200001482_200001485&period=year&group=group_brand&metric=metric_gmv&sortingColumn=metric_gmv&sortingOrder=direction_desc
Second-hand_editions_(up_to_1941_inclusive);https://data.ozon.ru/app/categories-comparison?category=2_200001482_200001486&period=year&group=group_brand&metric=metric_gmv&sortingColumn=metric_gmv&sortingOrder=direction_desc
Automotive_Body_Parts;https://data.ozon.ru/app/categories-comparison?category=2_17027495_48159484&period=year&group=group_brand&metric=metric_gmv&sortingColumn=metric_gmv&sortingOrder=direction_desc
Car_Cleaning_Products;https://data.ozon.ru/app/categories-comparison?category=2_17027495_17027945&period=year&group=group_brand&metric=metric_gmv&sortingColumn=metric_gmv&sortingOrder=direction_desc
Car_Electrical_Equipment;https://data.ozon.ru/app/categories-comparison?category=2_17027495_78731083&period=year&group=group_brand&metric=metric_gmv&sortingColumn=metric_gmv&sortingOrder=direction_desc
Car_Fuel;https://data.ozon.ru/app/categories-comparison?category=2_17027495_200001475&period=year&group=group_brand&metric=metric_gmv&sortingColumn=metric_gmv&sortingOrder=direction_desc
Car_Jacks_&_Winches;https://data.ozon.ru/app/categories-comparison?category=2_17027495_17028759&period=year&group=group_brand&metric=metric_gmv&sortingColumn=metric_gmv&sortingOrder=direction_desc
Car_Mats_and_Car_Seat_Covers;https://data.ozon.ru/app/categories-comparison?category=2_17027495_17028750&period=year&group=group_brand&metric=metric_gmv&sortingColumn=metric_gmv&sortingOrder=direction_desc
Car_Oils;https://data.ozon.ru/app/categories-comparison?category=2_17027495_17028760&period=year&group=group_brand&metric=metric_gmv&sortingColumn=metric_gmv&sortingOrder=direction_desc
Car_Organizers_and_Bags;https://data.ozon.ru/app/categories-comparison?category=2_17027495_82169566&period=year&group=group_brand&metric=metric_gmv&sortingColumn=metric_gmv&sortingOrder=direction_desc
Car_Replacement_Parts;https://data.ozon.ru/app/categories-comparison?category=2_17027495_17028756&period=year&group=group_brand&metric=metric_gmv&sortingColumn=metric_gmv&sortingOrder=direction_desc
Car_Stereos;https://data.ozon.ru/app/categories-comparison?category=2_17027495_17039878&period=year&group=group_brand&metric=metric_gmv&sortingColumn=metric_gmv&sortingOrder=direction_desc
Car_Tire_Inner_Tube;https://data.ozon.ru/app/categories-comparison?category=2_17027495_79225084&period=year&group=group_brand&metric=metric_gmv&sortingColumn=metric_gmv&sortingOrder=direction_desc
Emergency_Supplies;https://data.ozon.ru/app/categories-comparison?category=2_17027495_17027943&period=year&group=group_brand&metric=metric_gmv&sortingColumn=metric_gmv&sortingOrder=direction_desc
Garage_and_Car_Services_Products;https://data.ozon.ru/app/categories-comparison?category=2_17027495_83250454&period=year&group=group_brand&metric=metric_gmv&sortingColumn=metric_gmv&sortingOrder=direction_desc
Interior_Details;https://data.ozon.ru/app/categories-comparison?category=2_17027495_43443514&period=year&group=group_brand&metric=metric_gmv&sortingColumn=metric_gmv&sortingOrder=direction_desc
Luggage_Transportation;https://data.ozon.ru/app/categories-comparison?category=2_17027495_17028754&period=year&group=group_brand&metric=metric_gmv&sortingColumn=metric_gmv&sortingOrder=direction_desc
